program,fuzzer,seed,version,branches
objdump,afl-2.40b,invalid,binutils2.32,10.3
objdump,afl-2.49b,invalid,binutils2.32,18.8
objdump,afl-2.51b,invalid,binutils2.32,18.8
objdump,afl-2.52b,invalid,binutils2.32,18.8
objdump,afl-rb,invalid,binutils2.32,20.4
objdump,aflfast,invalid,binutils2.32,18.8
objdump,aflgo,invalid,binutils2.32,18.9
readelf,afl-1.94b,invalid,binutils2.32,0.5
readelf,afl-2.40b,invalid,binutils2.32,1.1
readelf,afl-2.49b,invalid,binutils2.32,1.8
readelf,afl-2.51b,invalid,binutils2.32,0.9
readelf,afl-2.52b,invalid,binutils2.32,1.3
readelf,afl-rb,invalid,binutils2.32,1.3
readelf,aflfast,invalid,binutils2.32,1.2
readelf,aflgo,invalid,binutils2.32,1.3
size,afl-1.94b,invalid,binutils2.32,24.8
size,afl-2.40b,invalid,binutils2.32,22.8
size,afl-2.49b,invalid,binutils2.32,23.4
size,afl-2.51b,invalid,binutils2.32,23.4
size,afl-2.52b,invalid,binutils2.32,22.8
size,afl-rb,invalid,binutils2.32,24.8
size,aflfast,invalid,binutils2.32,24.8
size,aflgo,invalid,binutils2.32,24.8
strings,afl-1.94b,invalid,binutils2.32,31.8
strings,afl-2.40b,invalid,binutils2.32,31.8
strings,afl-2.49b,invalid,binutils2.32,31.8
strings,afl-2.51b,invalid,binutils2.32,31.8
strings,afl-2.52b,invalid,binutils2.32,31.8
strings,afl-rb,invalid,binutils2.32,31.8
strings,aflfast,invalid,binutils2.32,31.8
strings,aflgo,invalid,binutils2.32,31.8
cxxfilt,afl-1.94b,valid,binutils2.26,47.2
cxxfilt,afl-2.40b,valid,binutils2.26,47.2
cxxfilt,afl-2.49b,valid,binutils2.26,49.1
cxxfilt,afl-2.51b,valid,binutils2.26,47.2
cxxfilt,afl-2.52b,valid,binutils2.26,49.1
cxxfilt,afl-rb,valid,binutils2.26,49.1
cxxfilt,aflfast,valid,binutils2.26,49.1
cxxfilt,aflgo,valid,binutils2.26,49.1
nm,afl-1.94b,valid,binutils2.26,19.3
nm,afl-2.40b,valid,binutils2.26,18.7
nm,afl-2.49b,valid,binutils2.26,15.4
nm,afl-2.51b,valid,binutils2.26,18.7
nm,afl-2.52b,valid,binutils2.26,19.3
nm,afl-rb,valid,binutils2.26,19.3
nm,aflfast,valid,binutils2.26,19.3
nm,aflgo,valid,binutils2.26,19.3
objdump,afl-1.94b,valid,binutils2.26,22.2
objdump,afl-2.40b,valid,binutils2.26,15.2
objdump,afl-2.49b,valid,binutils2.26,21.3
objdump,afl-2.51b,valid,binutils2.26,14.7
objdump,afl-2.52b,valid,binutils2.26,21.6
objdump,afl-rb,valid,binutils2.26,22.7
objdump,aflfast,valid,binutils2.26,21.9
objdump,aflgo,valid,binutils2.26,21.9
readelf,afl-1.94b,valid,binutils2.26,13.7
readelf,afl-2.40b,valid,binutils2.26,26.7
readelf,afl-2.49b,valid,binutils2.26,40
readelf,afl-2.51b,valid,binutils2.26,41.6
readelf,afl-2.52b,valid,binutils2.26,43.8
readelf,afl-rb,valid,binutils2.26,52.1
readelf,aflfast,valid,binutils2.26,47.7
readelf,aflgo,valid,binutils2.26,46.3
cxxfilt,afl-1.94b,valid,binutils2.28,47.2
cxxfilt,afl-2.40b,valid,binutils2.28,49.1
cxxfilt,afl-2.49b,valid,binutils2.28,49.1
cxxfilt,afl-2.51b,valid,binutils2.28,49.1
cxxfilt,afl-2.52b,valid,binutils2.28,49.1
cxxfilt,afl-rb,valid,binutils2.28,49.1
cxxfilt,aflfast,valid,binutils2.28,49.1
cxxfilt,aflgo,valid,binutils2.28,49.1
nm,afl-1.94b,valid,binutils2.28,18.8
nm,afl-2.40b,valid,binutils2.28,17.3
nm,afl-2.49b,valid,binutils2.28,18
