program,fuzzer,seed,version,paths_1h,paths_2h,paths_3h,paths_4h,paths_5h,paths_6h
cxxfilt,aflfast,valid,binutils2.26,0.553033,0.735005,0.908844,1.02253,1.17486,1.26855
cxxfilt,aflgo,valid,binutils2.26,0.615215,0.905795,0.941206,0.941376,0.945612,0.945612
nm,afl-1.94b,valid,binutils2.26,0.231079,0.355128,0.476937,0.576355,0.664577,0.705777
nm,afl-2.40b,valid,binutils2.26,0.242723,0.419615,0.574116,0.662785,0.75056,0.813704
nm,afl-2.49b,valid,binutils2.26,0.238245,0.394089,0.51142,0.631438,0.719212,0.817734
nm,afl-2.51b,valid,binutils2.26,0.237797,0.369458,0.538737,0.626064,0.715629,0.887147
nm,afl-2.52b,valid,binutils2.26,0.223914,0.36901,0.536498,0.648007,0.718316,1
nm,afl-rb,valid,binutils2.26,0.440215,0.559337,0.949395,1.44648,1.67488,1.92163
nm,aflfast,valid,binutils2.26,0.382893,0.511867,0.600537,0.646664,0.659651,0.66592
nm,aflgo,valid,binutils2.26,0.268249,0.416928,0.505598,0.635916,0.778325,0.891178
objdump,afl-1.94b,valid,binutils2.26,0.45088,0.574606,0.664968,0.749768,0.861446,0.924467
objdump,afl-2.40b,valid,binutils2.26,0.366543,0.505097,0.649212,0.808156,0.912882,1.038
objdump,afl-2.49b,valid,binutils2.26,0.423077,0.568582,0.672382,0.7405,0.878591,0.995829
objdump,afl-2.51b,valid,binutils2.26,0.332252,0.482391,0.606117,0.735403,0.83874,0.995366
objdump,afl-2.52b,valid,binutils2.26,0.357739,0.498146,0.673772,0.716867,0.854958,1
objdump,afl-rb,valid,binutils2.26,0.746061,1.02919,1.20621,1.4393,1.57136,1.73772
objdump,aflfast,valid,binutils2.26,0.467099,0.651066,0.833179,0.92354,1.01576,1.11909
objdump,aflgo,valid,binutils2.26,0.398054,0.557924,0.668211,0.802595,0.970806,1.10426
readelf,afl-1.94b,valid,binutils2.26,0.479987,0.557157,0.67179,0.784822,0.905219,1.02754
readelf,afl-2.40b,valid,binutils2.26,0.460134,0.59398,0.705411,0.835735,0.943644,1.02434
readelf,afl-2.49b,valid,binutils2.26,0.486711,0.590138,0.729747,0.817803,0.954531,1.04931
readelf,afl-2.51b,valid,binutils2.26,0.478066,0.585335,0.676913,0.767531,0.901057,0.972462
readelf,afl-2.52b,valid,binutils2.26,0.481588,0.589817,0.709894,0.829011,0.934678,1
readelf,afl-rb,valid,binutils2.26,0.76497,1.22094,1.59014,1.7544,1.99135,2.17195
readelf,aflfast,valid,binutils2.26,0.528658,0.727506,0.848543,1.01633,1.15818,1.24944
readelf,aflgo,valid,binutils2.26,0.46814,0.598463,0.726865,0.887288,0.96894,1.04963
cxxfilt,afl-1.94b,valid,binutils2.28,0.357939,0.5077,0.615684,0.711276,0.79784,0.8906
cxxfilt,afl-2.40b,valid,binutils2.28,0.639936,0.931669,1.09648,1.09648,1.09648,1.09648
cxxfilt,afl-2.49b,valid,binutils2.28,0.625066,0.904585,1.03346,1.03346,1.03346,1.04514
cxxfilt,afl-2.51b,valid,binutils2.28,0.637104,0.949372,0.970614,0.974863,0.974863,0.974863
cxxfilt,afl-2.52b,valid,binutils2.28,0.652859,0.896973,0.96017,0.96017,0.990441,1
cxxfilt,afl-rb,valid,binutils2.28,0.792707,0.97327,1.05063,1.09081,1.11754,1.16003
cxxfilt,aflfast,valid,binutils2.28,0.544698,0.722606,0.902107,1.01965,1.13631,1.24234
cxxfilt,aflgo,valid,binutils2.28,0.622057,0.864401,0.997168,1.00956,1.02053,1.03841
nm,afl-1.94b,valid,binutils2.28,0.335431,0.530522,0.657017,0.828194,0.927627,0.993707
nm,afl-2.40b,valid,binutils2.28,0.33669,0.57017,0.820642,0.941473,1.04657,1.14475
nm,afl-2.49b,valid,binutils2.28,0.32725,0.534928,0.727502,0.824418,0.918188,1.10636
nm,afl-2.51b,valid,binutils2.28,0.344871,0.561989,0.726243,0.838263,0.92511,1.09251
nm,afl-2.52b,valid,binutils2.28,0.315922,0.53304,0.716803,0.842039,0.903713,1
nm,afl-rb,valid,binutils2.28,0.69163,0.954688,1.163,1.72876,2.15607,2.47325
nm,aflfast,valid,binutils2.28,0.661422,2.35997,3.03021,3.94084,4.10573,4.23411
nm,aflgo,valid,binutils2.28,0.318439,0.530522,0.7382,0.861548,0.970422,1.05664
objdump,afl-1.94b,valid,binutils2.28,0.407747,0.556851,0.65556,0.745106,0.825489,0.874219
objdump,afl-2.40b,valid,binutils2.28,0.3611,0.476052,0.636401,0.702207,0.80758,0.96793
objdump,afl-2.49b,valid,binutils2.28,0.376093,0.475635,0.66389,0.703873,0.807164,0.970429
objdump,afl-2.51b,valid,binutils2.28,0.356935,0.468138,0.59975,0.685548,0.717618,0.857559
objdump,afl-2.52b,valid,binutils2.28,0.386922,0.477718,0.652645,0.733861,0.858392,1
objdump,afl-rb,valid,binutils2.28,0.695127,0.881716,1.16576,1.45356,1.57309,1.69304
objdump,aflfast,valid,binutils2.28,0.431903,0.556018,0.703457,0.757601,0.907955,1.04373
objdump,aflgo,valid,binutils2.28,0.35152,0.48813,0.620575,0.729696,0.808413,0.87172
readelf,afl-1.94b,valid,binutils2.28,0.56479,0.629919,0.693012,0.794098,0.891791,0.972524
readelf,afl-2.40b,valid,binutils2.28,0.546133,0.638399,0.773066,0.834803,0.993555,1.09871
readelf,afl-2.49b,valid,binutils2.28,0.542062,0.661465,0.773745,0.850407,0.909769,1.04003
readelf,afl-2.51b,valid,binutils2.28,0.543758,0.63365,0.734057,0.812076,0.935889,1.04003
readelf,afl-2.52b,valid,binutils2.28,0.541723,0.63806,0.714043,0.82327,0.888738,1
readelf,afl-rb,valid,binutils2.28,0.88772,1.3382,1.62381,1.91791,2.08616,2.24763
readelf,aflfast,valid,binutils2.28,0.560719,0.756784,0.935889,1.11262,1.20081,1.29003
readelf,aflgo,valid,binutils2.28,0.526798,0.604478,0.722863,0.831072,0.946404,1.03596
cxxfilt,afl-1.94b,valid,binutils2.32,0.422278,0.571549,0.70174,0.837823,0.940236,0.994949
cxxfilt,afl-2.40b,valid,binutils2.32,0.738496,0.8844,0.8844,0.899551,0.905724,0.906566
cxxfilt,afl-2.49b,valid,binutils2.32,0.702581,0.77413,0.77413,0.839226,0.844276,0.847924
cxxfilt,afl-2.51b,valid,binutils2.32,0.74523,0.828844,0.828844,0.828844,0.828844,0.828844
cxxfilt,afl-2.52b,valid,binutils2.32,0.743266,0.880752,0.880752,0.893659,0.954265,1
cxxfilt,afl-rb,valid,binutils2.32,0.881594,1.13131,1.24046,1.3367,1.4119,1.47026
cxxfilt,aflfast,valid,binutils2.32,0.656846,0.934343,1.12767,1.24467,1.27581,1.30471
cxxfilt,aflgo,valid,binutils2.32,0.743266,0.894781,0.935746,0.936308,0.9422,0.944444
nm,afl-1.94b,valid,binutils2.32,0.311594,0.501553,0.629917,0.756211,0.858178,0.93323
nm,afl-2.40b,valid,binutils2.32,0.302277,0.478261,0.584369,0.67029,0.74793,0.90735
nm,afl-2.49b,valid,binutils2.32,0.313665,0.484472,0.643892,0.766563,0.820393,0.951346
nm,afl-2.51b,valid,binutils2.32,0.349896,0.493271,0.585921,0.730849,0.914079,1.00155
nm,afl-2.52b,valid,binutils2.32,0.29089,0.457557,0.604555,0.708592,0.802277,1
nm,afl-rb,valid,binutils2.32,0.589545,0.919772,1.02484,1.09834,1.28106,1.37992
nm,aflfast,valid,binutils2.32,0.445135,0.727743,0.774845,0.88354,0.959627,1.03157
nm,aflgo,valid,binutils2.32,0.304348,0.474638,0.611284,0.744306,0.830228,1.0264
objdump,afl-1.94b,valid,binutils2.32,0.465791,0.628455,0.727685,0.876303,0.964205,1.06162
objdump,afl-2.40b,valid,binutils2.32,0.42773,0.557771,0.6715,0.776167,0.910739,0.97961
objdump,afl-2.49b,valid,binutils2.32,0.491164,0.607159,0.772995,0.885818,0.983235,1.07386
objdump,afl-2.51b,valid,binutils2.32,0.447213,0.581785,0.741731,0.88899,1.00317,1.13095
objdump,afl-2.52b,valid,binutils2.32,0.406434,0.5401,0.655188,0.816946,0.92705,1
objdump,afl-rb,valid,binutils2.32,0.949252,1.16448,1.54961,1.81015,1.96239,2.05845
objdump,aflfast,valid,binutils2.32,0.516085,0.668781,0.797916,0.908473,1.06162,1.23969
objdump,aflgo,valid,binutils2.32,0.44676,0.614862,0.706389,0.78251,0.900317,1.06026
readelf,afl-1.94b,valid,binutils2.32,0.581019,0.643519,0.70205,0.804894,0.90377,0.993717
readelf,afl-2.40b,valid,binutils2.32,0.541667,0.624669,0.695437,0.800595,0.881283,0.999008
readelf,afl-2.49b,valid,binutils2.32,0.546627,0.616733,0.705688,0.809854,0.875661,0.968585
readelf,afl-2.51b,valid,binutils2.32,0.532077,0.627976,0.703042,0.772487,0.876984,0.954696
readelf,afl-2.52b,valid,binutils2.32,0.524802,0.63459,0.724868,0.806878,0.873016,1
readelf,afl-rb,valid,binutils2.32,0.940146,1.22553,1.48843,1.63856,1.68618,1.83929
readelf,aflfast,valid,binutils2.32,0.58168,0.78836,0.928241,1.08069,1.15509,1.25463
readelf,aflgo,valid,binutils2.32,0.565476,0.647487,0.727183,0.800265,0.884921,0.987434
tcpdump,afl-1.94b,valid,tcpdump,0.298654,0.453488,0.605569,0.681763,0.775398,0.880967
tcpdump,afl-2.40b,valid,tcpdump,0.343941,0.5612,0.724296,0.850061,0.946144,1.02723
tcpdump,afl-2.49b,valid,tcpdump,0.380049,0.534884,0.678703,0.787332,0.873317,0.957772
tcpdump,afl-2.51b,valid,tcpdump,0.357405,0.537944,0.692472,0.814871,0.912179,0.992044
tcpdump,afl-2.52b,valid,tcpdump,0.364137,0.540392,0.674725,0.783966,0.898715,1
tcpdump,afl-rb,valid,tcpdump,0.724908,1.1276,1.45441,1.64168,1.81181,2.00765
tcpdump,aflfast,valid,tcpdump,0.528152,0.838127,1.05906,1.26867,1.40483,1.50245
